2019/03/21 13:32:35.795 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:32:35.795 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:35:45.274 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:35:45.274 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:38:12.972 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:38:12.972 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:48:14.525 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:48:14.525 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:49:00.096 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:49:00.096 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:49:20.205 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:49:20.205 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:49:52.831 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:49:52.831 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:50:31.245 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:50:31.245 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:50:49.333 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:50:49.333 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:51:48.306 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:51:48.306 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:55:16.307 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:55:16.307 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:55:32.724 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:55:32.724 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:57:39.642 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:57:39.643 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 13:59:52.100 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 13:59:52.100 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:01:26.615 [E]  Connect to the redis host 127.0.0.1:6379 failed
